,H_TEAM,H_TEAM1,H_H/A,H_TEAM2,GAMEDATE,H_W/L,H_MIN,H_PTS,H_FGM,H_FGA,H_FG%,H_3PM,H_3PA,H_3P%,H_FTM,H_FTA,H_FT%,H_OREB,H_DREB,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PF,H_+/-,A_TEAM,A_TEAM1,A_H/A,A_TEAM2,GAMEDATE,A_W/L,A_MIN,A_PTS,A_FGM,A_FGA,A_FG%,A_3PM,A_3PA,A_3P%,A_FTM,A_FTA,A_FT%,A_OREB,A_DREB,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PF,A_+/-
0,ATL,ATL,vs, SAS,2021-04-18,W,53,114,42,92,45.7,14,28,50.0,16,27,59.3,11,35,46,25,12,6,6,21,2,SAS,SAS,@,ATL,2021-04-18,L,53,112,42,90,46.7,9,27,33.3,19,22,86.4,9,38,47,27,12,5,6,21,-2
1,ATL,ATL,vs,GSW,2021-04-18,L,48,100,37,80,46.3,10,31,32.3,16,19,84.2,7,34,41,23,20,15,4,19,-1,GSW,GSW,@,ATL,2021-04-18,W,48,101,39,87,44.8,6,27,22.2,17,25,68.0,13,34,47,30,21,15,7,17,1
2,ATL,ATL,vs, IND,2021-04-18,W,48,116,42,82,51.2,10,32,31.3,22,24,91.7,4,36,40,22,14,8,4,28,5,IND,IND,@,ATL,2021-04-18,L,48,111,36,87,41.4,10,27,37.0,29,35,82.9,13,26,39,24,11,8,4,24,-5
3,ATL,ATL,vs,MIA,2021-04-18,L,63,109,36,94,38.3,6,22,27.3,31,46,67.4,15,36,51,22,19,10,5,24,-7,MIA,MIA,@,ATL,2021-04-18,W,63,116,45,102,44.1,8,28,28.6,18,23,78.3,14,42,56,25,22,6,6,35,7
4,ATL,ATL,vs,BOS,2021-04-18,L,48,81,28,68,41.2,10,29,34.5,15,19,78.9,8,28,36,18,21,8,4,19,-8,BOS,BOS,@,ATL,2021-04-18,W,48,89,39,85,45.9,3,16,18.8,8,12,66.7,16,28,44,27,13,11,4,15,8
5,ATL,ATL,vs, NYK,2021-04-18,L,48,101,37,87,42.5,15,39,38.5,12,19,63.2,14,27,41,22,13,3,4,24,-6,NYK,NYK,@,ATL,2021-04-18,W,48,107,40,84,47.6,5,18,27.8,22,24,91.7,11,35,46,20,9,7,6,20,6
6,ATL,ATL,vs, MIA,2021-04-18,W,48,106,43,91,47.3,10,24,41.7,10,13,76.9,14,45,59,25,17,7,2,22,24,MIA,MIA,@,ATL,2021-04-18,L,48,82,31,87,35.6,5,34,14.7,15,27,55.6,12,29,41,23,14,11,7,17,-24
7,ATL,ATL,vs, DEN,2021-04-18,L,48,115,35,77,45.5,18,39,46.2,27,32,84.4,4,30,34,24,10,3,5,22,-8,DEN,DEN,@,ATL,2021-04-18,W,48,123,47,92,51.1,9,27,33.3,20,27,74.1,7,34,41,27,4,4,6,23,8
8,ATL,ATL,vs,CHI,2021-04-18,W,48,109,47,83,56.6,9,12,75.0,6,6,100.0,4,27,31,32,14,16,8,16,15,CHI,CHI,@,ATL,2021-04-18,L,48,94,36,82,43.9,6,14,42.9,16,20,80.0,17,26,43,21,20,8,5,9,-15
9,ATL,ATL,vs,MEM,2021-04-18,W,48,96,32,72,44.4,13,25,52.0,19,23,82.6,8,29,37,21,18,17,4,15,10,MEM,MEM,@,ATL,2021-04-18,L,48,86,35,79,44.3,5,17,29.4,11,11,100.0,8,31,39,20,21,10,4,21,-10
10,ATL,ATL,vs,IND,2021-04-18,W,48,108,36,84,42.9,11,22,50.0,25,29,86.2,12,32,44,27,15,8,4,20,15,IND,IND,@,ATL,2021-04-18,L,48,93,34,83,41.0,5,17,29.4,20,23,87.0,11,32,43,17,15,4,5,22,-15
11,ATL,ATL,vs,IND,2021-04-18,W,48,97,34,75,45.3,10,23,43.5,19,22,86.4,6,28,34,27,11,8,3,14,10,IND,IND,@,ATL,2021-04-18,L,48,87,35,87,40.2,9,27,33.3,8,9,88.9,14,32,46,19,20,7,4,21,-10
12,ATL,ATL,vs, HOU,2021-04-18,L,48,115,39,106,36.8,13,44,29.5,24,27,88.9,16,38,54,20,11,6,8,29,-7,HOU,HOU,@,ATL,2021-04-18,W,48,122,39,92,42.4,13,45,28.9,31,41,75.6,16,43,59,22,13,7,7,21,7
13,ATL,ATL,vs, CHI,2021-04-18,W,48,120,49,94,52.1,10,24,41.7,12,15,80.0,8,32,40,33,16,15,13,22,15,CHI,CHI,@,ATL,2021-04-18,L,48,105,36,83,43.4,7,18,38.9,26,31,83.9,12,34,46,16,22,7,6,13,-15
14,ATL,ATL,vs,HOU,2021-04-18,W,48,83,32,86,37.2,9,32,28.1,10,11,90.9,13,27,40,25,14,9,5,17,3,HOU,HOU,@,ATL,2021-04-18,L,48,80,29,70,41.4,6,19,31.6,16,22,72.7,10,34,44,15,18,3,2,18,-3
15,ATL,ATL,vs,UTA,2021-04-18,W,48,103,40,72,55.6,9,19,47.4,14,23,60.9,4,29,33,24,15,10,5,18,8,UTA,UTA,@,ATL,2021-04-18,L,48,95,36,76,47.4,8,20,40.0,15,19,78.9,7,28,35,29,17,9,4,22,-8
16,ATL,ATL,vs,WAS,2021-04-17,W,48,120,42,89,47.2,16,31,51.6,20,24,83.3,13,29,42,34,9,14,3,15,31,WAS,WAS,@,ATL,2021-04-17,L,48,89,36,76,47.4,5,20,25.0,12,15,80.0,8,31,39,25,20,5,7,16,-31
17,ATL,ATL,vs,CHA,2021-04-17,W,48,111,42,90,46.7,6,19,31.6,21,28,75.0,20,35,55,29,9,8,4,16,30,CHA,CHA,@,ATL,2021-04-17,L,48,81,33,78,42.3,1,8,12.5,14,16,87.5,4,26,30,21,12,3,6,19,-30
18,ATL,ATL,vs, BKN,2021-04-17,L,48,105,37,80,46.3,11,28,39.3,20,26,76.9,8,38,46,21,18,6,3,25,-5,BKN,BKN,@,ATL,2021-04-17,W,48,110,40,87,46.0,13,34,38.2,17,26,65.4,13,30,43,29,15,8,1,24,5
19,ATL,ATL,vs, BOS,2021-04-17,L,48,101,36,84,42.9,11,30,36.7,18,21,85.7,12,31,43,22,12,5,5,17,-2,BOS,BOS,@,ATL,2021-04-17,W,48,103,36,83,43.4,17,44,38.6,14,19,73.7,9,34,43,22,12,7,3,16,2
20,ATL,ATL,vs, MIL,2021-04-17,L,48,114,39,96,40.6,12,38,31.6,24,30,80.0,18,36,54,19,24,3,5,30,-19,MIL,MIL,@,ATL,2021-04-17,W,48,133,49,92,53.3,11,30,36.7,24,33,72.7,8,31,39,28,14,13,4,25,19
21,ATL,ATL,vs,MIN,2021-04-17,W,48,93,32,78,41.0,7,21,33.3,22,27,81.5,14,37,51,21,20,8,6,14,2,MIN,MIN,@,ATL,2021-04-17,L,48,91,38,85,44.7,4,21,19.0,11,12,91.7,10,30,40,21,15,12,4,21,-2
22,ATL,ATL,vs, PHX,2021-04-17,W,48,123,46,93,49.5,14,31,45.2,17,20,85.0,12,34,46,25,17,3,10,25,13,PHX,PHX,@,ATL,2021-04-17,L,48,110,40,87,46.0,4,20,20.0,26,32,81.3,10,30,40,20,12,9,6,19,-13
23,ATL,ATL,vs,HOU,2021-04-17,L,48,106,43,87,49.4,10,26,38.5,10,12,83.3,7,25,32,27,13,6,4,10,-6,HOU,HOU,@,ATL,2021-04-17,W,48,112,47,87,54.0,7,20,35.0,11,11,100.0,11,34,45,24,13,7,2,16,6
24,ATL,ATL,vs, MIL,2021-04-17,W,48,111,42,80,52.5,13,26,50.0,14,18,77.8,14,23,37,29,19,9,4,20,13,MIL,MIL,@,ATL,2021-04-17,L,48,98,39,79,49.4,6,19,31.6,14,18,77.8,13,23,36,25,17,11,4,25,-13
25,ATL,ATL,vs, SAS,2021-04-17,W,48,102,40,86,46.5,9,25,36.0,13,14,92.9,11,39,50,23,15,8,2,23,3,SAS,SAS,@,ATL,2021-04-17,L,48,99,37,87,42.5,8,22,36.4,17,20,85.0,8,29,37,24,9,12,5,13,-3
26,ATL,ATL,vs, OKC,2021-04-17,W,48,142,56,90,62.2,18,37,48.6,12,16,75.0,10,34,44,36,19,8,4,28,16,OKC,OKC,@,ATL,2021-04-17,L,48,126,43,94,45.7,9,32,28.1,31,41,75.6,15,25,40,22,12,16,3,18,-16
27,ATL,ATL,vs,TOR,2021-04-17,W,48,93,32,71,45.1,5,13,38.5,24,31,77.4,6,30,36,21,10,6,7,19,9,TOR,TOR,@,ATL,2021-04-17,L,48,84,33,78,42.3,3,12,25.0,15,22,68.2,11,31,42,19,17,4,6,27,-9
28,ATL,ATL,vs,BKN,2021-04-16,W,48,109,45,78,57.7,8,21,38.1,11,17,64.7,16,25,41,33,16,8,2,18,14,BKN,BKN,@,ATL,2021-04-16,L,48,95,37,87,42.5,4,26,15.4,17,17,100.0,18,19,37,17,14,9,2,19,-14
29,ATL,ATL,vs,BKN,2021-04-16,L,48,110,40,81,49.4,8,25,32.0,22,22,100.0,7,21,28,26,15,10,7,12,-17,BKN,BKN,@,ATL,2021-04-16,W,48,127,53,91,58.2,16,27,59.3,5,7,71.4,12,28,40,38,19,7,4,21,17
30,ATL,ATL,vs, BKN,2021-04-16,W,48,114,44,79,55.7,8,29,27.6,18,24,75.0,5,35,40,34,10,14,5,20,28,BKN,BKN,@,ATL,2021-04-16,L,48,86,34,78,43.6,6,20,30.0,12,19,63.2,7,29,36,22,17,5,3,17,-28
31,ATL,ATL,vs,SAC,2021-04-16,W,48,100,39,83,47.0,5,20,25.0,17,20,85.0,8,30,38,25,10,3,10,21,2,SAC,SAC,@,ATL,2021-04-16,L,48,98,41,92,44.6,1,9,11.1,15,22,68.2,17,30,47,18,8,6,3,17,-2
32,ATL,ATL,vs, NOP,2021-04-16,W,48,94,37,89,41.6,10,40,25.0,10,13,76.9,12,31,43,32,11,5,3,22,1,NOP,NOP,@,ATL,2021-04-16,L,48,93,35,80,43.8,10,27,37.0,13,19,68.4,9,34,43,27,14,5,6,20,-1
33,ATL,ATL,vs,POR,2021-04-16,W,48,92,33,71,46.5,5,11,45.5,21,27,77.8,5,42,47,18,14,4,7,18,3,POR,POR,@,ATL,2021-04-16,L,48,89,35,92,38.0,5,19,26.3,14,20,70.0,13,28,41,23,9,10,5,21,-3
34,ATL,ATL,vs, ORL,2021-04-16,W,48,98,41,80,51.3,9,19,47.4,7,10,70.0,4,43,47,31,17,9,6,20,17,ORL,ORL,@,ATL,2021-04-16,L,48,81,30,87,34.5,6,22,27.3,15,20,75.0,11,31,42,21,13,11,5,13,-17
35,ATL,ATL,vs, DET,2021-04-16,L,48,103,40,93,43.0,10,34,29.4,13,15,86.7,10,22,32,18,20,9,6,20,-33,DET,DET,@,ATL,2021-04-16,W,48,136,51,86,59.3,15,32,46.9,19,25,76.0,11,30,41,31,18,12,8,18,33
36,ATL,ATL,vs,SAS,2021-04-16,L,48,93,35,85,41.2,8,21,38.1,15,22,68.2,13,37,50,20,15,2,2,14,-5,SAS,SAS,@,ATL,2021-04-16,W,48,98,41,86,47.7,8,24,33.3,8,11,72.7,5,34,39,21,9,8,4,15,5
37,ATL,ATL,vs,DET,2021-04-16,W,48,93,37,84,44.0,9,30,30.0,10,14,71.4,5,37,42,31,11,8,1,19,11,DET,DET,@,ATL,2021-04-16,L,48,82,29,82,35.4,9,35,25.7,15,26,57.7,20,41,61,17,19,6,2,17,-11
38,ATL,ATL,vs, BOS,2021-04-16,L,48,105,40,92,43.5,12,41,29.3,13,14,92.9,13,36,49,28,20,8,6,20,-8,BOS,BOS,@,ATL,2021-04-16,W,48,113,39,88,44.3,12,32,37.5,23,25,92.0,11,32,43,19,15,10,8,18,8
