,id,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,game,min,oreb,pf,player,pts,reb,stl,team,turnover,date,home_team_id,home_team_score,period,postseason,season,status,time,visitor_team_id,visitor_team_score,first_name,height_feet,height_inches,last_name,position,team_id,weight_pounds,abbreviation,city,conference,division,full_name,name
0,1069008,0.0,1.0,2.0,0.2,5.0,1.0,0.333,9.0,3.0,0.0,0.0,0.0,"{'id': 45237, 'date': '2019-01-17T00:00:00.000Z', 'home_team_id': 4, 'home_team_score': 114, 'period': 4, 'postseason': False, 'season': 2018, 'status': 'Final', 'time': ' ', 'visitor_team_id': 26, 'visitor_team_score': 95}",20:08,0.0,0.0,"{'id': 415, 'first_name': 'Iman', 'height_feet': 6, 'height_inches': 5, 'last_name': 'Shumpert', 'position': 'G', 'team_id': 3, 'weight_pounds': 215}",7.0,2.0,0.0,"{'id': 26, 'abbreviation': 'SAC', 'city': 'Sacramento', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Sacramento Kings', 'name': 'Kings'}",2.0,,,,,,,,,,,,,,,,,,,,,,,
1,1069009,4.0,0.0,5.0,0.0,2.0,0.0,0.2,5.0,1.0,0.0,0.0,0.0,"{'id': 45237, 'date': '2019-01-17T00:00:00.000Z', 'home_team_id': 4, 'home_team_score': 114, 'period': 4, 'postseason': False, 'season': 2018, 'status': 'Final', 'time': ' ', 'visitor_team_id': 26, 'visitor_team_score': 95}",19:22,1.0,1.0,"{'id': 49, 'first_name': 'Nemanja', 'height_feet': 6, 'height_inches': 10, 'last_name': 'Bjelica', 'position': 'F', 'team_id': 16, 'weight_pounds': 234}",2.0,6.0,0.0,"{'id': 26, 'abbreviation': 'SAC', 'city': 'Sacramento', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Sacramento Kings', 'name': 'Kings'}",0.0,,,,,,,,,,,,,,,,,,,,,,,
2,1069010,4.0,1.0,5.0,0.0,0.0,0.0,0.667,6.0,4.0,0.0,0.0,0.0,"{'id': 45237, 'date': '2019-01-17T00:00:00.000Z', 'home_team_id': 4, 'home_team_score': 114, 'period': 4, 'postseason': False, 'season': 2018, 'status': 'Final', 'time': ' ', 'visitor_team_id': 26, 'visitor_team_score': 95}",27:24,6.0,2.0,"{'id': 91, 'first_name': 'Willie', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Cauley-Stein', 'position': 'C', 'team_id': 7, 'weight_pounds': 240}",8.0,11.0,3.0,"{'id': 26, 'abbreviation': 'SAC', 'city': 'Sacramento', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Sacramento Kings', 'name': 'Kings'}",2.0,,,,,,,,,,,,,,,,,,,,,,,
3,1069011,1.0,0.0,1.0,0.545,11.0,6.0,0.5,18.0,9.0,0.0,0.0,0.0,"{'id': 45237, 'date': '2019-01-17T00:00:00.000Z', 'home_team_id': 4, 'home_team_score': 114, 'period': 4, 'postseason': False, 'season': 2018, 'status': 'Final', 'time': ' ', 'visitor_team_id': 26, 'visitor_team_score': 95}",32:06,0.0,2.0,"{'id': 210, 'first_name': 'Buddy', 'height_feet': 6, 'height_inches': 4, 'last_name': 'Hield', 'position': 'G', 'team_id': 26, 'weight_pounds': 214}",24.0,1.0,2.0,"{'id': 26, 'abbreviation': 'SAC', 'city': 'Sacramento', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Sacramento Kings', 'name': 'Kings'}",0.0,,,,,,,,,,,,,,,,,,,,,,,
4,1069012,8.0,1.0,5.0,0.0,2.0,0.0,0.4,10.0,4.0,0.667,3.0,2.0,"{'id': 45237, 'date': '2019-01-17T00:00:00.000Z', 'home_team_id': 4, 'home_team_score': 114, 'period': 4, 'postseason': False, 'season': 2018, 'status': 'Final', 'time': ' ', 'visitor_team_id': 26, 'visitor_team_score': 95}",30:30,0.0,4.0,"{'id': 161, 'first_name': ""De'Aaron"", 'height_feet': 6, 'height_inches': 3, 'last_name': 'Fox', 'position': 'G', 'team_id': 26, 'weight_pounds': 175}",10.0,5.0,1.0,"{'id': 26, 'abbreviation': 'SAC', 'city': 'Sacramento', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Sacramento Kings', 'name': 'Kings'}",4.0,,,,,,,,,,,,,,,,,,,,,,,
5,1069013,2.0,0.0,1.0,0.5,2.0,1.0,0.615,13.0,8.0,0.0,0.0,0.0,"{'id': 45237, 'date': '2019-01-17T00:00:00.000Z', 'home_team_id': 4, 'home_team_score': 114, 'period': 4, 'postseason': False, 'season': 2018, 'status': 'Final', 'time': ' ', 'visitor_team_id': 26, 'visitor_team_score': 95}",27:20,0.0,2.0,"{'id': 53, 'first_name': 'Bogdan', 'height_feet': 6, 'height_inches': 6, 'last_name': 'Bogdanovic', 'position': 'G', 'team_id': 1, 'weight_pounds': 205}",17.0,1.0,1.0,"{'id': 26, 'abbreviation': 'SAC', 'city': 'Sacramento', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Sacramento Kings', 'name': 'Kings'}",2.0,,,,,,,,,,,,,,,,,,,,,,,
6,1069014,2.0,0.0,1.0,0.333,3.0,1.0,0.4,5.0,2.0,0.0,0.0,0.0,"{'id': 45237, 'date': '2019-01-17T00:00:00.000Z', 'home_team_id': 4, 'home_team_score': 114, 'period': 4, 'postseason': False, 'season': 2018, 'status': 'Final', 'time': ' ', 'visitor_team_id': 26, 'visitor_team_score': 95}",16:22,0.0,1.0,"{'id': 157, 'first_name': 'Yogi', 'height_feet': 6, 'height_inches': 0, 'last_name': 'Ferrell', 'position': 'G', 'team_id': 26, 'weight_pounds': 180}",5.0,1.0,0.0,"{'id': 26, 'abbreviation': 'SAC', 'city': 'Sacramento', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Sacramento Kings', 'name': 'Kings'}",0.0,,,,,,,,,,,,,,,,,,,,,,,
7,1069015,1.0,0.0,4.0,0.5,2.0,1.0,0.545,11.0,6.0,0.5,4.0,2.0,"{'id': 45237, 'date': '2019-01-17T00:00:00.000Z', 'home_team_id': 4, 'home_team_score': 114, 'period': 4, 'postseason': False, 'season': 2018, 'status': 'Final', 'time': ' ', 'visitor_team_id': 26, 'visitor_team_score': 95}",22:55,4.0,2.0,"{'id': 24, 'first_name': 'Marvin', 'height_feet': 6, 'height_inches': 11, 'last_name': 'Bagley III', 'position': 'F', 'team_id': 26, 'weight_pounds': 234}",15.0,8.0,0.0,"{'id': 26, 'abbreviation': 'SAC', 'city': 'Sacramento', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Sacramento Kings', 'name': 'Kings'}",3.0,,,,,,,,,,,,,,,,,,,,,,,
8,1069016,2.0,0.0,3.0,0.25,4.0,1.0,0.4,5.0,2.0,0.5,2.0,1.0,"{'id': 45237, 'date': '2019-01-17T00:00:00.000Z', 'home_team_id': 4, 'home_team_score': 114, 'period': 4, 'postseason': False, 'season': 2018, 'status': 'Final', 'time': ' ', 'visitor_team_id': 26, 'visitor_team_score': 95}",24:07,0.0,2.0,"{'id': 235, 'first_name': 'Justin', 'height_feet': 6, 'height_inches': 8, 'last_name': 'Jackson', 'position': 'F', 'team_id': 21, 'weight_pounds': 210}",6.0,3.0,0.0,"{'id': 26, 'abbreviation': 'SAC', 'city': 'Sacramento', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Sacramento Kings', 'name': 'Kings'}",0.0,,,,,,,,,,,,,,,,,,,,,,,
9,1069017,4.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.25,4.0,1.0,"{'id': 45237, 'date': '2019-01-17T00:00:00.000Z', 'home_team_id': 4, 'home_team_score': 114, 'period': 4, 'postseason': False, 'season': 2018, 'status': 'Final', 'time': ' ', 'visitor_team_id': 26, 'visitor_team_score': 95}",16:14,0.0,6.0,"{'id': 174, 'first_name': 'Harry', 'height_feet': 6, 'height_inches': 10, 'last_name': 'Giles III', 'position': 'F-C', 'team_id': 25, 'weight_pounds': 240}",1.0,4.0,0.0,"{'id': 26, 'abbreviation': 'SAC', 'city': 'Sacramento', 'conference': 'West', 'division': 'Pacific', 'full_name': 'Sacramento Kings', 'name': 'Kings'}",4.0,,,,,,,,,,,,,,,,,,,,,,,
